,Unnamed: 0,MarathonTime
33,33,3.24
0,0,2.68
34,34,3.25
12,12,2.9
10,10,2.88
77,77,3.98
30,30,3.22
4,4,2.84
49,49,3.5
66,66,3.76
61,61,3.65
22,22,3.12
72,72,3.92
54,54,3.55
18,18,3.04
44,44,3.39
31,31,3.23
58,58,3.62
9,9,2.88
5,5,2.83
